Movie Title,Director,Count,Picked By
John Cassavetes: Five Films,Collector’s Set,23,"JODIE FOSTER, STELLAN SKARSGÅRD, WILL ARNETT, CILLIAN MURPHY, MARK DUPLASS, JUDD APATOW, RZA, BARBIE FERREIRA, JULIA GARNER, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, WINONA RYDER, JR, CAROL KANE, MOLLY RINGWALD, CHARLIE DAY, BARRY JENKINS, GINA PRINCE-BYTHEWOOD, ISABEL SANDOVAL, JAMES L. BROOKS, EUZHAN PALCY, JACK GARFEIN, THE WOLFPACK, ALDEN EHRENREICH"
The Complete Films of Agnès Varda,Collector’s Set,17,"NIA DACOSTA, MARION COTILLARD, BOWEN YANG, ROSAMUND PIKE, ROSANNA ARQUETTE, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JR, CHARLIE DAY, AGNIESZKA HOLLAND, CHARLOTTE GAINSBOURG, ANNIE BAKER AND LUCIAN JOHNSTON, CHERYL DUNYE, CALLUM TURNER, KLEBER MENDONÇA FILHO, AGNÈS B., ISABEL SANDOVAL, SARA DOSA"
La strada,Federico Fellini,15,"JODIE FOSTER, STELLAN SKARSGÅRD, PAMELA ANDERSON, DAVID CRONENBERG, NATASHA LYONNE, JEREMY THOMAS, CALLUM TURNER, FREDERICK WISEMAN, VICKY KRIEPS, SALLY POTTER, PETER SARSGAARD, RICHARD E. GRANT, JOANNA HOGG, JERZY SKOLIMOWSKI, BARBARA SUKOWA"
All That Jazz,Bob Fosse,13,"DANNY BOYLE, MARGARET QUALLEY, NATASHA LYONNE, AMELIA DIMOLDENBERG, ANNA KENDRICK, JEREMY O. HARRIS, JOANNA HOGG, BENJAMIN MILLEPIED, PATRICK BRICE, VOLKER SCHLÖNDORFF, JOACHIM TRIER, IRA SACHS, LEE UNKRICH"
Do the Right Thing,Spike Lee,13,"ARI ASTER, QUESTLOVE, JULIA GARNER, KEVIN BACON, MAURA TIERNEY, EDWARD BERGER, LEE DANIELS, CHARLIE DAY, CAULEEN SMITH, DESIREE AKHAVAN, THE WOLFPACK, ASIF KAPADIA, SAUL WILLIAMS AND ANISIA UZEYMAN"
Naked,Mike Leigh,12,"STELLAN SKARSGÅRD, LAV DIAZ, NATASHA LYONNE, CARRIE COON, ANDREW GARFIELD, CALLUM TURNER, HLYNUR PÁLMASON, ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, COLIN QUINN, M.I.A. AND STEPHEN LOVERIDGE, SEAN BAKER, BARBARA SUKOWA"
The Red Shoes,Michael Powell and Emeric Pressburger,12,"FLORENCE WELCH, GUILLERMO DEL TORO, ELLE FANNING, BETSEY JOHNSON, ROSANNA ARQUETTE, NATHALIE EMMANUEL, ANDREW GARFIELD, JASON SCHWARTZMAN, HARI NEF, LUCRECIA MARTEL, RODARTE, JOANNA HOGG"
The Complete Jacques Tati,Collector’s Set,12,"BI GAN, DAVID BYRNE, SETH ROGEN & EVAN GOLDBERG, CLAUDE LELOUCH, JOHN LITHGOW, FRANCIS FORD COPPOLA, JANE SCHOENBRUN, KIM CATTRALL, BARRY JENKINS, PAUL B. PRECIADO, FIVE COMICS, IRA SACHS"
8½,Federico Fellini,12,"BI GAN, TUNDE ADEBIMPE, LEE DANIELS, WILLEM DAFOE, WILLIAM FRIEDKIN, JOHN WATERS, CARL FRANKLIN, LESLIE HARRIS, AMY HECKERLING, TAVI GEVINSON, JOANNA HOGG, JERZY SKOLIMOWSKI"
Essential Fellini,Collector’s Set,11,"JODIE FOSTER, LAV DIAZ, MICHELLE ZAUNER, KEN BURNS, JULIETTE BINOCHE AND RALPH FIENNES, JACQUES AUDIARD, BILL HADER, LEE DANIELS, MOLLY RINGWALD, CATE BLANCHETT AND TODD FIELD, DEVO: GERALD CASALE AND MARK MOTHERSBAUGH"
Wanda,Barbara Loden,11,"PAMELA ANDERSON, ARI ASTER, LENA DUNHAM, ROSANNA ARQUETTE, JULIA GARNER, CARRIE COON, ISABELLE HUPPERT, KIM CATTRALL, LINA RODRIGUEZ, PETER SARSGAARD, CHRISTIAN PETZOLD"
Seven Samurai,Akira Kurosawa,10,"RYAN COOGLER, STELLAN SKARSGÅRD, JUNE SQUIBB, PETER WOLF, KEVIN BACON, KEN BURNS, DENIS VILLENEUVE, ZOË KRAVITZ AND CHANNING TATUM, BEN WHEATLEY, LUCRECIA MARTEL"
Bicycle Thieves,Vittorio De Sica,10,"JAFAR PANAHI, JOSH AND BENNY SAFDIE, JOEL EDGERTON, ROSINE MBAKAM, FREDERICK WISEMAN, CRISTIAN MUNGIU, MIKE LEIGH, JAMES ACHESON, RUBEN ÖSTLUND, LEE UNKRICH"
Dekalog,Krzysztof Kieślowski,10,"WILL ARNETT, MARK DUPLASS, BRADY CORBET, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JOHNNIE TO, BARRY JENKINS, REBECCA MILLER, AMIR NADERI, BILL AND TURNER ROSS, CRISTIAN MUNGIU"
Yi Yi,Edward Yang,10,"KAHLIL JOSEPH, JIA ZHANGKE, HARRIS DICKINSON, BILL HADER, PAUL DANO, JEREMY O. HARRIS, LILA AVILÉS, SEAN BAKER, ASIF KAPADIA, ALDEN EHRENREICH"
Mirror,Andrei Tarkovsky,10,"KATYA ZAMOLODCHIKOVA, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JULIETTE BINOCHE AND RALPH FIENNES, JACQUES AUDIARD, RAMELL ROSS, WILLEM DAFOE, HLYNUR PÁLMASON, ROGER & JAMES DEAKINS, RENATE REINSVE, SAUL WILLIAMS AND ANISIA UZEYMAN"
Tokyo Story,Yasujiro Ozu,10,"JENNIFER KENT, DAN LEVY, CHARLIE DAY, SARITA CHOUDHURY, BONG JOON HO, TIM BLAKE NELSON, CARL FRANKLIN, YO LA TENGO, AMY HECKERLING, THE WOLFPACK"
Love & Basketball,Gina Prince-Bythewood,9,"RYAN COOGLER, RIAN JOHNSON, NIA DACOSTA, LENA DUNHAM, NATHALIE EMMANUEL, DAN LEVY, TYLER MITCHELL, GINA PRINCE-BYTHEWOOD, GARRETT BRADLEY"
City Lights,Charles Chaplin,9,"STELLAN SKARSGÅRD, NATASHA LYONNE, JIA ZHANGKE, CAROL KANE, KOJI YAKUSHO, KOJI YAKUSHO, RICHARD E. GRANT, AMY HECKERLING, SLAVOJ ŽIŽEK"
