Movie Title,Director,Count,Picked By
John Cassavetes: Five Films,John Cassavetes,26,"ALDEN EHRENREICH, BARBIE FERREIRA, BARRY JENKINS, CAROL KANE, CHARLIE DAY, CILLIAN MURPHY, EUZHAN PALCY, GINA PRINCE-BYTHEWOOD, ISABEL SANDOVAL, JACK GARFEIN, JAMES L. BROOKS, JODIE FOSTER, JR, JUDD APATOW, JULIA GARNER, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, MARK DUPLASS, MOLLY RINGWALD, PAULINE CHALAMET, ROBERT DOWNEY SR., RYUSUKE HAMAGUCHI, RZA, STELLAN SKARSGÅRD, THE WOLFPACK, WILL ARNETT, WINONA RYDER"
The Complete Films of Agnès Varda,Agnès Varda,19,"AGNIESZKA HOLLAND, AGNÈS B., ANNIE BAKER AND LUCIAN JOHNSTON, BOWEN YANG, CALLUM TURNER, CHARLIE DAY, CHARLOTTE GAINSBOURG, CHERYL DUNYE, ISABEL SANDOVAL, JERRY SCHATZBERG, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JR, KLEBER MENDONÇA FILHO, MARION COTILLARD, NIA DACOSTA, PAULINE CHALAMET, ROSAMUND PIKE, ROSANNA ARQUETTE, SARA DOSA"
Do the Right Thing,Spike Lee,16,"ARI ASTER, ASIF KAPADIA, CAULEEN SMITH, CHARLIE DAY, DESIREE AKHAVAN, EDWARD BERGER, JEREMY POPE, JULIA GARNER, KEVIN BACON, LAURA DERN, LEE DANIELS, MAURA TIERNEY, QUESTLOVE, SAUL WILLIAMS AND ANISIA UZEYMAN, THE WOLFPACK, TRACY LETTS"
La strada,Federico Fellini,16,"BARBARA SUKOWA, CALLUM TURNER, DAVID CRONENBERG, FREDERICK WISEMAN, JEREMY THOMAS, JERZY SKOLIMOWSKI, JOANNA HOGG, JODIE FOSTER, JOHN SAYLES, NATASHA LYONNE, PAMELA ANDERSON, PETER SARSGAARD, RICHARD E. GRANT, SALLY POTTER, STELLAN SKARSGÅRD, VICKY KRIEPS"
The Complete Jacques Tati,Collector’s Set,16,"BARRY JENKINS, BI GAN, CLAUDE LELOUCH, DAVID BYRNE, FIVE COMICS, FRANCIS FORD COPPOLA, IRA SACHS, JANE SCHOENBRUN, JOHN LITHGOW, KIM CATTRALL, LOUIS GARREL, MICHAEL CERA, PAUL B. PRECIADO, SETH ROGEN & EVAN GOLDBERG, TERRY GILLIAM, WIM WENDERS"
8½,Federico Fellini,15,"AMY HECKERLING, BI GAN, CARL FRANKLIN, JERZY SKOLIMOWSKI, JOANNA HOGG, JOHN WATERS, LEE DANIELS, LESLIE HARRIS, MICHAEL CERA, ROBERT DOWNEY SR., TAVI GEVINSON, TERRY GILLIAM, TUNDE ADEBIMPE, WILLEM DAFOE, WILLIAM FRIEDKIN"
Naked,Mike Leigh,14,"ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, ALFONSO CUARÓN AND PAWEŁ PAWLIKOWSKI, ANDREW GARFIELD, BARBARA SUKOWA, CALLUM TURNER, CARRIE COON, COLIN QUINN, HLYNUR PÁLMASON, LAV DIAZ, M.I.A. AND STEPHEN LOVERIDGE, NATASHA LYONNE, SEAN BAKER, STELLAN SKARSGÅRD, YORGOS LANTHIMOS & ARIANE LABED"
All That Jazz,Bob Fosse,14,"AMELIA DIMOLDENBERG, ANNA KENDRICK, BENJAMIN MILLEPIED, CHRIS EIGEMAN, DANNY BOYLE, IRA SACHS, JEREMY O. HARRIS, JOACHIM TRIER, JOANNA HOGG, LEE UNKRICH, MARGARET QUALLEY, NATASHA LYONNE, PATRICK BRICE, VOLKER SCHLÖNDORFF"
Wanda,Barbara Loden,14,"ARI ASTER, CARRIE COON, CHRISTIAN PETZOLD, ISABELLE HUPPERT, JEAN-PIERRE AND LUC DARDENNE, JULIA GARNER, KIM CATTRALL, LENA DUNHAM, LINA RODRIGUEZ, PAMELA ANDERSON, PAULINE CHALAMET, PETER SARSGAARD, ROSANNA ARQUETTE, WIM WENDERS"
Essential Fellini,Federico Fellini,13,"BILL HADER, CATE BLANCHETT AND TODD FIELD, DEVO: GERALD CASALE AND MARK MOTHERSBAUGH, JACQUES AUDIARD, JODIE FOSTER, JULIETTE BINOCHE AND RALPH FIENNES, KEN BURNS, LAURA DERN, LAV DIAZ, LEE DANIELS, MICHELLE ZAUNER, MOLLY RINGWALD, REGINALD HUDLIN"
Dekalog,Krzysztof Kieślowski,12,"AMIR NADERI, BARRY JENKINS, BILL AND TURNER ROSS, BRADY CORBET, CRISTIAN MUNGIU, JEAN-PIERRE AND LUC DARDENNE, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, JOHNNIE TO, MARK DUPLASS, PATTON OSWALT, REBECCA MILLER, WILL ARNETT"
The Red Shoes,Michael Powell and Emeric Pressburger,12,"ANDREW GARFIELD, BETSEY JOHNSON, ELLE FANNING, FLORENCE WELCH, GUILLERMO DEL TORO, HARI NEF, JASON SCHWARTZMAN, JOANNA HOGG, LUCRECIA MARTEL, NATHALIE EMMANUEL, RODARTE, ROSANNA ARQUETTE"
Being There,Hal Ashby,11,"AUBREY PLAZA AND JEFF BAENA, CHARLIE DAY, GINTS ZILBALODIS, JASON BATEMAN, KYLE MACLACHLAN, MARC MARON, MICHAEL SHANNON, NATHAN LANE, NICHOLAS HOULT, TED DANSON & MARY STEENBURGEN, WILCO"
Bicycle Thieves,Vittorio De Sica,11,"CRISTIAN MUNGIU, FREDERICK WISEMAN, HARRIS SAVIDES, JAFAR PANAHI, JAMES ACHESON, JOEL EDGERTON, JOSH AND BENNY SAFDIE, LEE UNKRICH, MIKE LEIGH, ROSINE MBAKAM, RUBEN ÖSTLUND"
Yi Yi,Edward Yang,11,"ALDEN EHRENREICH, ASIF KAPADIA, BILL HADER, HARRIS DICKINSON, HARRIS SAVIDES, JEREMY O. HARRIS, JIA ZHANGKE, KAHLIL JOSEPH, LILA AVILÉS, PAUL DANO, SEAN BAKER"
The Night of the Hunter,Charles Laughton,10,"AGNÈS B., CHARLOTTE GAINSBOURG, CHIARA MASTROIANNI, HARRIS SAVIDES, JUDE LAW, KERRY CONDON, LAURA DERN, MICHAEL K. WILLIAMS, NATHAN LANE, TODD HAYNES"
La Jetée/Sans Soleil,Chris Marker,10,"CAULEEN SMITH, DIEGO LUNA, JOACHIM TRIER, NICHOLAS BRITELL, PAUL B. PRECIADO, PAYAL KAPADIA, RAMELL ROSS, SARA DOSA, THE WOLFPACK, TIM ROBBINS"
Melvin Van Peebles: Essential Films,Melvin Van Peebles,10,"ANDRÉ HOLLAND, CHARLES BURNETT, ELEGANCE BRATTON, ELVIS MITCHELL, GARRETT BRADLEY, JEREMY O. HARRIS, REGINALD HUDLIN, RZA, TRACE LYSETTE, VINCE STAPLES"
Punch-Drunk Love,Paul Thomas Anderson,10,"AIMEE LOU WOOD, BEN SINCLAIR, CHARLIE DAY, GINTS ZILBALODIS, LEE UNKRICH, MARGARET QUALLEY, MARK BRIDGES, RACHEL SENNOTT, TYLER MITCHELL, ​LUIS GUZMÁN"
Seven Samurai,Akira Kurosawa,10,"BEN WHEATLEY, DENIS VILLENEUVE, JUNE SQUIBB, KEN BURNS, KEVIN BACON, LUCRECIA MARTEL, PETER WOLF, RYAN COOGLER, STELLAN SKARSGÅRD, ZOË KRAVITZ AND CHANNING TATUM"
On the Waterfront,Elia Kazan,10,"BENJAMIN MILLEPIED, CATHERINE BREILLAT, JERRY SCHATZBERG, LAURA ALBERT & JEFF FEUERZEIG, LUCY LIU, NICOLAS WINDING REFN, PHIL ROSENTHAL, RON SHELTON, RZA, ​LUIS GUZMÁN"
Barry Lyndon,Stanley Kubrick,10,"BILL HADER, CHARLIE DAY, HLYNUR PÁLMASON, JASON BATEMAN, KLEBER MENDONÇA FILHO, MARCO BELLOCCHIO, MARK BRIDGES, NEAL BRENNAN, NIA DACOSTA, RONAN FARROW"
Shampoo,Hal Ashby,10,"CAROL KANE, FIVE COMICS, JAMES L. BROOKS, JASON BATEMAN, JULIA GARNER, MAURA TIERNEY, NEAL BRENNAN, RODARTE, ROSANNA ARQUETTE, SETH ROGEN & EVAN GOLDBERG"
Ingmar Bergman’s Cinema,Ingmar Bergman,10,"ANNA KENDRICK, ATOM EGOYAN, CATE BLANCHETT AND TODD FIELD, CATHERINE BREILLAT, CHARLES BURNETT, DAVID CRONENBERG, LAV DIAZ, NURI BILGE CEYLAN, PAMELA ANDERSON, TERRY GILLIAM"
To Sleep with Anger,Charles Burnett,10,"ANDRÉ HOLLAND, AYO EDEBIRI, CARL FRANKLIN, CAULEEN SMITH, DEREK CIANFRANCE, ELVIS MITCHELL, FRANKLIN LEONARD, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, RAMELL ROSS, TOM ROTHMAN"
